number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_eval_metric,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_train_size,state
40,0.6517453212057717,2023-11-18 00:12:29.847355,2023-11-18 00:13:41.675563,0 days 00:01:11.828208,0.9,logloss,0.1,0.03,4,7,100,0.2,2,0.8,4,COMPLETE
41,0.6705199712126664,2023-11-18 00:14:02.796102,2023-11-18 00:15:40.464022,0 days 00:01:37.667920,0.9,error@0.7,0.1,0.02,4,7,500,0.2,2,0.9,2,COMPLETE
42,0.6705199712126664,2023-11-18 00:16:02.145636,2023-11-18 00:18:10.319065,0 days 00:02:08.173429,0.9,error@0.7,0.1,0.02,4,7,500,0.2,2,0.9,2,COMPLETE
43,0.6690989010989011,2023-11-18 00:18:32.682133,2023-11-18 00:21:35.146033,0 days 00:03:02.463900,1.0,error@0.7,0.1,0.02,4,8,500,0.2,2,0.8,2,COMPLETE
44,0.67122113997114,2023-11-18 00:21:57.901992,2023-11-18 00:25:48.334752,0 days 00:03:50.432760,0.9,error@0.7,0.1,0.01,4,6,1000,0.2,2,0.9,2,COMPLETE
45,0.6252752564584564,2023-11-18 00:26:09.929590,2023-11-18 00:28:36.821419,0 days 00:02:26.891829,0.9,error@0.7,0.1,0.01,4,5,1000,0.2,2,0.9,10,COMPLETE
46,0.6715253173072611,2023-11-18 00:28:58.782490,2023-11-18 00:31:41.828932,0 days 00:02:43.046442,0.9,logloss,0.15000000000000002,0.01,4,6,1000,0.2,2,0.8,2,COMPLETE
47,0.6367147028350758,2023-11-18 00:32:03.597336,2023-11-18 00:35:12.899576,0 days 00:03:09.302240,0.9,logloss,0.15000000000000002,0.01,4,5,1000,0.2,3,0.8,5,COMPLETE
48,0.6596407293735331,2023-11-18 00:35:34.364291,2023-11-18 00:39:16.956307,0 days 00:03:42.592016,0.9,logloss,0.15000000000000002,0.01,4,6,1000,0.2,1,0.8,3,COMPLETE
49,0.6380284532337807,2023-11-18 00:39:37.532960,2023-11-18 00:43:16.217038,0 days 00:03:38.684078,0.8,logloss,0.2,0.01,4,6,1000,0.2,3,0.8,8,COMPLETE
